#ele,time,_lat,_lon
24.3,2019-05-09T16:21:18Z,-30.0572580,-51.1717820
24.3,2019-05-09T16:21:21Z,-30.0571520,-51.1718370
24.3,2019-05-09T16:21:25Z,-30.0571460,-51.1718000
24.3,2019-05-09T16:21:29Z,-30.0571580,-51.1717660
24.3,2019-05-09T16:21:32Z,-30.0571810,-51.1717450
24.3,2019-05-09T16:21:36Z,-30.0572050,-51.1717150
24.3,2019-05-09T16:21:39Z,-30.0572410,-51.1717050
24.3,2019-05-09T16:21:42Z,-30.0572770,-51.1717000
24.4,2019-05-09T16:21:45Z,-30.0573120,-51.1717040
24.5,2019-05-09T16:21:49Z,-30.0573490,-51.1717020
24.6,2019-05-09T16:21:52Z,-30.0573880,-51.1716990
24.7,2019-05-09T16:21:56Z,-30.0574170,-51.1717120
24.7,2019-05-09T16:21:59Z,-30.0574460,-51.1717380
24.9,2019-05-09T16:22:02Z,-30.0574750,-51.1717520
25.0,2019-05-09T16:22:05Z,-30.0574980,-51.1717780
25.0,2019-05-09T16:22:07Z,-30.0575240,-51.1717910
25.1,2019-05-09T16:22:09Z,-30.0575520,-51.1717990
25.2,2019-05-09T16:22:11Z,-30.0575790,-51.1718050
25.3,2019-05-09T16:22:14Z,-30.0576130,-51.1718140
25.4,2019-05-09T16:22:17Z,-30.0576470,-51.1718070
25.2,2019-05-09T16:22:20Z,-30.0576810,-51.1718050
25.2,2019-05-09T16:22:23Z,-30.0577170,-51.1717930
25.1,2019-05-09T16:22:25Z,-30.0577480,-51.1717890
25.1,2019-05-09T16:22:27Z,-30.0577790,-51.1717790
25.1,2019-05-09T16:22:29Z,-30.0578070,-51.1717700
25.2,2019-05-09T16:22:32Z,-30.0578450,-51.1717660
25.3,2019-05-09T16:22:35Z,-30.0578740,-51.1717470
25.4,2019-05-09T16:22:38Z,-30.0579100,-51.1717320
25.4,2019-05-09T16:22:41Z,-30.0579480,-51.1717260
25.8,2019-05-09T16:22:43Z,-30.0579790,-51.1717270
26.0,2019-05-09T16:22:45Z,-30.0580070,-51.1717300
26.2,2019-05-09T16:22:47Z,-30.0580360,-51.1717370
26.4,2019-05-09T16:22:49Z,-30.0580660,-51.1717460
26.6,2019-05-09T16:22:51Z,-30.0580920,-51.1717540
26.8,2019-05-09T16:22:54Z,-30.0581260,-51.1717570
27.0,2019-05-09T16:22:58Z,-30.0581600,-51.1717560
27.4,2019-05-09T16:23:01Z,-30.0581960,-51.1717480
27.6,2019-05-09T16:23:04Z,-30.0582330,-51.1717440
27.8,2019-05-09T16:23:07Z,-30.0582690,-51.1717410
27.9,2019-05-09T16:23:10Z,-30.0583090,-51.1717510
28.1,2019-05-09T16:23:12Z,-30.0583360,-51.1717660
28.2,2019-05-09T16:23:14Z,-30.0583630,-51.1717920
28.2,2019-05-09T16:23:16Z,-30.0583790,-51.1718230
28.1,2019-05-09T16:23:18Z,-30.0583860,-51.1718550
28.1,2019-05-09T16:23:21Z,-30.0583880,-51.1718930
28.1,2019-05-09T16:23:24Z,-30.0583840,-51.1719250
28.1,2019-05-09T16:23:27Z,-30.0583840,-51.1719620
28.2,2019-05-09T16:23:30Z,-30.0584050,-51.1719880
28.1,2019-05-09T16:23:33Z,-30.0584330,-51.1720090
28.0,2019-05-09T16:23:35Z,-30.0584570,-51.1720290
27.7,2019-05-09T16:23:39Z,-30.0584740,-51.1720550
27.7,2019-05-09T16:23:42Z,-30.0584920,-51.1720800
27.3,2019-05-09T16:23:45Z,-30.0585130,-51.1721040
27.3,2019-05-09T16:23:47Z,-30.0585330,-51.1721270
27.1,2019-05-09T16:23:50Z,-30.0585560,-51.1721570
27.1,2019-05-09T16:23:56Z,-30.0585920,-51.1721720
27.0,2019-05-09T16:23:58Z,-30.0586220,-51.1721740
27.0,2019-05-09T16:24:01Z,-30.0586560,-51.1721850
26.8,2019-05-09T16:24:07Z,-30.0586840,-51.1721940
26.5,2019-05-09T16:24:10Z,-30.0587160,-51.1722140
26.1,2019-05-09T16:24:14Z,-30.0587440,-51.1722170
25.6,2019-05-09T16:24:17Z,-30.0587840,-51.1722280
25.2,2019-05-09T16:24:19Z,-30.0588160,-51.1722560
24.9,2019-05-09T16:24:21Z,-30.0588400,-51.1722760
24.6,2019-05-09T16:24:23Z,-30.0588650,-51.1722920
24.1,2019-05-09T16:24:25Z,-30.0588990,-51.1723190
24.0,2019-05-09T16:24:27Z,-30.0589280,-51.1723510
24.0,2019-05-09T16:24:29Z,-30.0589530,-51.1723810
24.0,2019-05-09T16:24:31Z,-30.0589820,-51.1724110
24.1,2019-05-09T16:24:33Z,-30.0590090,-51.1724380
24.2,2019-05-09T16:24:35Z,-30.0590310,-51.1724600
24.1,2019-05-09T16:24:37Z,-30.0590550,-51.1724780
24.2,2019-05-09T16:24:39Z,-30.0590810,-51.1724890
24.5,2019-05-09T16:24:42Z,-30.0591190,-51.1724950
24.8,2019-05-09T16:24:45Z,-30.0591510,-51.1724970
25.0,2019-05-09T16:24:48Z,-30.0591810,-51.1725060
25.1,2019-05-09T16:24:51Z,-30.0592170,-51.1725300
25.1,2019-05-09T16:24:53Z,-30.0592380,-51.1725560
25.0,2019-05-09T16:24:55Z,-30.0592510,-51.1725900
25.2,2019-05-09T16:24:57Z,-30.0592580,-51.1726290
25.3,2019-05-09T16:24:59Z,-30.0592640,-51.1726670
25.5,2019-05-09T16:25:01Z,-30.0592730,-51.1726990
25.7,2019-05-09T16:25:03Z,-30.0592830,-51.1727330
26.0,2019-05-09T16:25:05Z,-30.0592950,-51.1727640
26.2,2019-05-09T16:25:07Z,-30.0593080,-51.1727980
26.5,2019-05-09T16:25:09Z,-30.0593160,-51.1728290
26.7,2019-05-09T16:25:12Z,-30.0593230,-51.1728730
27.2,2019-05-09T16:25:15Z,-30.0593380,-51.1729130
27.4,2019-05-09T16:25:17Z,-30.0593450,-51.1729440
27.4,2019-05-09T16:25:19Z,-30.0593490,-51.1729760
27.7,2019-05-09T16:25:21Z,-30.0593520,-51.1730080
28.3,2019-05-09T16:25:24Z,-30.0593630,-51.1730440
28.9,2019-05-09T16:25:27Z,-30.0593720,-51.1730860
28.9,2019-05-09T16:25:31Z,-30.0593940,-51.1731130
29.1,2019-05-09T16:25:36Z,-30.0594210,-51.1731110
30.0,2019-05-09T16:25:40Z,-30.0594530,-51.1731270
30.6,2019-05-09T16:25:43Z,-30.0594740,-51.1731630
30.8,2019-05-09T16:25:45Z,-30.0594890,-51.1731910
31.1,2019-05-09T16:25:48Z,-30.0595030,-51.1732330
31.2,2019-05-09T16:25:50Z,-30.0595090,-51.1732640
31.3,2019-05-09T16:25:53Z,-30.0595120,-51.1733100
31.1,2019-05-09T16:25:56Z,-30.0595030,-51.1733520
31.1,2019-05-09T16:25:58Z,-30.0595010,-51.1733870
31.2,2019-05-09T16:26:01Z,-30.0595140,-51.1734280
31.3,2019-05-09T16:26:04Z,-30.0595380,-51.1734530
31.3,2019-05-09T16:26:07Z,-30.0595720,-51.1734700
31.2,2019-05-09T16:26:11Z,-30.0596070,-51.1734860
31.1,2019-05-09T16:26:14Z,-30.0596350,-51.1734870
31.2,2019-05-09T16:26:18Z,-30.0596620,-51.1735090
31.2,2019-05-09T16:26:21Z,-30.0596790,-51.1735340
31.3,2019-05-09T16:26:23Z,-30.0597070,-51.1735540
31.2,2019-05-09T16:26:25Z,-30.0597350,-51.1735550
31.2,2019-05-09T16:26:29Z,-30.0597690,-51.1735480
31.1,2019-05-09T16:26:31Z,-30.0597960,-51.1735620
30.9,2019-05-09T16:26:34Z,-30.0598260,-51.1735650
30.7,2019-05-09T16:26:37Z,-30.0598570,-51.1735540
30.5,2019-05-09T16:26:40Z,-30.0598840,-51.1735350
30.2,2019-05-09T16:26:42Z,-30.0599100,-51.1735250
29.9,2019-05-09T16:26:45Z,-30.0599440,-51.1735160
29.8,2019-05-09T16:26:47Z,-30.0599720,-51.1735090
29.8,2019-05-09T16:26:50Z,-30.0600050,-51.1735030
29.8,2019-05-09T16:26:55Z,-30.0600350,-51.1735220
29.8,2019-05-09T16:26:57Z,-30.0600590,-51.1735380
29.8,2019-05-09T16:26:59Z,-30.0600850,-51.1735480
29.9,2019-05-09T16:27:02Z,-30.0601260,-51.1735500
29.9,2019-05-09T16:27:05Z,-30.0601620,-51.1735660
30.0,2019-05-09T16:27:08Z,-30.0601990,-51.1735860
30.0,2019-05-09T16:27:11Z,-30.0602300,-51.1735880
30.0,2019-05-09T16:27:14Z,-30.0602600,-51.1735860
30.0,2019-05-09T16:27:17Z,-30.0602950,-51.1735920
29.9,2019-05-09T16:27:19Z,-30.0603250,-51.1735970
29.8,2019-05-09T16:27:22Z,-30.0603590,-51.1735920
29.8,2019-05-09T16:27:25Z,-30.0603910,-51.1735960
29.6,2019-05-09T16:27:27Z,-30.0604200,-51.1735980
29.3,2019-05-09T16:27:29Z,-30.0604490,-51.1736050
29.1,2019-05-09T16:27:31Z,-30.0604830,-51.1736120
29.0,2019-05-09T16:27:33Z,-30.0605110,-51.1736160
28.9,2019-05-09T16:27:36Z,-30.0605460,-51.1736030
28.9,2019-05-09T16:27:39Z,-30.0605870,-51.1735940
28.9,2019-05-09T16:27:41Z,-30.0606220,-51.1735930
28.9,2019-05-09T16:27:43Z,-30.0606550,-51.1735890
28.9,2019-05-09T16:27:45Z,-30.0606890,-51.1735860
28.9,2019-05-09T16:27:47Z,-30.0607260,-51.1735830
28.9,2019-05-09T16:27:49Z,-30.0607580,-51.1735800
28.9,2019-05-09T16:27:51Z,-30.0607860,-51.1735760
28.9,2019-05-09T16:27:54Z,-30.0608170,-51.1735590
28.9,2019-05-09T16:27:56Z,-30.0608470,-51.1735500
29.2,2019-05-09T16:27:58Z,-30.0608800,-51.1735490
29.3,2019-05-09T16:28:00Z,-30.0609140,-51.1735470
29.4,2019-05-09T16:28:02Z,-30.0609460,-51.1735470
29.4,2019-05-09T16:28:04Z,-30.0609710,-51.1735300
29.5,2019-05-09T16:28:07Z,-30.0610020,-51.1735240
29.6,2019-05-09T16:28:11Z,-30.0610280,-51.1735400
29.7,2019-05-09T16:28:17Z,-30.0610250,-51.1735820
